name_with_owner,descricao,valor,lado,severidade,mediana,primary_language,observacao
laravel/framework,pull requests aceitas,18505.0,acima,extremo,768.0,PHP,
TryGhost/Ghost,pull requests aceitas,18470.0,acima,extremo,768.0,JavaScript,
gatsbyjs/gatsby,pull requests aceitas,18304.0,acima,extremo,768.0,JavaScript,
ant-design/ant-design,pull requests aceitas,18246.0,acima,extremo,768.0,TypeScript,
microsoft/playwright,pull requests aceitas,17730.0,acima,extremo,768.0,TypeScript,
langchain-ai/langchain,pull requests aceitas,17285.0,acima,extremo,768.0,Python,
RocketChat/Rocket.Chat,pull requests aceitas,16935.0,acima,extremo,768.0,TypeScript,
bitcoin/bitcoin,pull requests aceitas,16837.0,acima,extremo,768.0,C++,
denoland/deno,pull requests aceitas,16464.0,acima,extremo,768.0,Rust,
astral-sh/ruff,pull requests aceitas,16058.0,acima,extremo,768.0,Rust,
mrdoob/three.js,pull requests aceitas,16008.0,acima,extremo,768.0,JavaScript,
ccxt/ccxt,pull requests aceitas,15604.0,acima,extremo,768.0,Python,
Homebrew/brew,pull requests aceitas,15257.0,acima,extremo,768.0,Ruby,
microsoft/TypeScript,pull requests aceitas,14898.0,acima,extremo,768.0,Go,
scikit-learn/scikit-learn,pull requests aceitas,14719.0,acima,extremo,768.0,Python,
BerriAI/litellm,pull requests aceitas,14603.0,acima,extremo,768.0,Python,
FreeCAD/FreeCAD,pull requests aceitas,14486.0,acima,extremo,768.0,C++,
appsmithorg/appsmith,pull requests aceitas,14329.0,acima,extremo,768.0,TypeScript,
twentyhq/twenty,pull requests aceitas,14087.0,acima,extremo,768.0,TypeScript,
opencv/opencv,pull requests aceitas,14064.0,acima,extremo,768.0,C++,
apache/kafka,pull requests aceitas,13874.0,acima,extremo,768.0,Java,
eugenp/tutorials,pull requests aceitas,13834.0,acima,extremo,768.0,Java,
vlang/v,pull requests aceitas,13799.0,acima,extremo,768.0,V,
pola-rs/polars,pull requests aceitas,13694.0,acima,extremo,768.0,Rust,
hashicorp/terraform,pull requests aceitas,13651.0,acima,extremo,768.0,Go,
langgenius/dify,pull requests aceitas,13476.0,acima,extremo,768.0,TypeScript,
commaai/openpilot,pull requests aceitas,13303.0,acima,extremo,768.0,Python,
nodejs/node,pull requests aceitas,13234.0,acima,extremo,768.0,JavaScript,
DIYgod/RSSHub,pull requests aceitas,13177.0,acima,extremo,768.0,TypeScript,
storybookjs/storybook,pull requests aceitas,13144.0,acima,moderado,768.0,TypeScript,
calcom/cal.diy,pull requests aceitas,13099.0,acima,moderado,768.0,TypeScript,
react/react,pull requests aceitas,13035.0,acima,moderado,768.0,JavaScript,
netdata/netdata,pull requests aceitas,12937.0,acima,moderado,768.0,Go,
tinygrad/tinygrad,pull requests aceitas,12373.0,acima,moderado,768.0,Python,
rapid7/metasploit-framework,pull requests aceitas,12056.0,acima,moderado,768.0,Ruby,
duckdb/duckdb,pull requests aceitas,11685.0,acima,moderado,768.0,C++,
NousResearch/hermes-agent,pull requests aceitas,11403.0,acima,moderado,768.0,Python,
django/django,pull requests aceitas,10691.0,acima,moderado,768.0,Python,
etcd-io/etcd,pull requests aceitas,10620.0,acima,moderado,768.0,Go,
strapi/strapi,pull requests aceitas,10382.0,acima,moderado,768.0,TypeScript,
prettier/prettier,pull requests aceitas,10242.0,acima,moderado,768.0,JavaScript,
astral-sh/uv,pull requests aceitas,10153.0,acima,moderado,768.0,Rust,
immich-app/immich,pull requests aceitas,10044.0,acima,moderado,768.0,TypeScript,
minio/minio,pull requests aceitas,9882.0,acima,moderado,768.0,Go,
oven-sh/bun,pull requests aceitas,9801.0,acima,moderado,768.0,Rust,
ggml-org/llama.cpp,pull requests aceitas,9789.0,acima,moderado,768.0,C++,
